NoAffS,VL,VC,Time,Result
15,660,2264,30.36,0
15,660,2264,30.36,0
15,660,2264,30.4,0
15,660,2264,30.31,0
15,660,2264,30.38,0
15,660,2264,30.37,0
15,660,2264,30.39,0
15,660,2264,30.39,0
15,660,2264,30.35,0
15,660,2264,30.37,0
15,660,2264,30.38,0
15,660,2264,30.37,0
15,660,2264,30.37,0
15,660,2264,30.38,0
15,660,2264,30.36,0
15,660,2264,30.35,0
15,660,2264,30.34,0
15,660,2264,30.34,0
15,660,2264,30.34,0
15,660,2264,30.37,0
15,660,2264,30.37,0
15,660,2264,30.37,0
15,660,2264,30.37,0
15,660,2264,30.36,0
15,660,2264,30.39,0
15,660,2264,30.37,0
15,660,2264,30.37,0
15,660,2264,30.37,0
15,660,2264,30.33,0
15,660,2264,30.38,0
