NoAffS,VL,VC,Time,Result
35,3414,9656,30.35,0
35,3414,9656,30.38,0
35,3414,9656,30.36,0
43,3414,9656,30.36,0
35,3414,9656,30.33,0
35,3414,9656,30.34,0
23,3414,9656,30.39,0
35,3414,9656,30.37,0
35,3414,9656,30.33,0
35,3414,9656,30.38,0
43,3414,9656,30.35,0
43,3414,9656,30.36,0
43,3414,9656,30.35,0
35,3414,9656,30.35,0
35,3414,9656,30.34,0
35,3414,9656,30.36,0
35,3414,9656,30.34,0
35,3414,9656,30.37,0
43,3414,9656,30.36,0
35,3414,9656,30.41,0
43,3414,9656,30.37,0
35,3414,9656,30.37,0
35,3414,9656,30.39,0
43,3414,9656,30.36,0
43,3414,9656,30.35,0
35,3414,9656,30.36,0
35,3414,9656,30.35,0
39,3414,9656,30.39,0
35,3414,9656,30.36,0
35,3414,9656,30.37,0
