NoAffS,VL,VC,Time,Result
23,3414,9656,30.35,0
35,3414,9656,30.37,0
35,3414,9656,30.35,0
35,3414,9656,30.33,0
35,3414,9656,30.3,0
35,3414,9656,30.37,0
35,3414,9656,30.35,0
35,3414,9656,30.38,0
35,3414,9656,30.36,0
35,3414,9656,30.39,0
35,3414,9656,30.35,0
35,3414,9656,30.35,0
23,3414,9656,30.36,0
35,3414,9656,30.35,0
35,3414,9656,30.38,0
35,3414,9656,30.33,0
31,3414,9656,30.37,0
34,3414,9656,30.33,0
23,3414,9656,30.39,0
35,3414,9656,30.36,0
31,3414,9656,30.35,0
35,3414,9656,30.36,0
23,3414,9656,30.35,0
35,3414,9656,30.34,0
31,3414,9656,30.37,0
34,3414,9656,30.37,0
35,3414,9656,30.37,0
23,3414,9656,30.32,0
34,3414,9656,30.37,0
35,3414,9656,30.35,0
