NoAffS,VL,VC,Time,Result
31,3414,9656,30.34,0
11,2439,7030,30.28,0
31,3414,9656,30.36,0
35,3414,9656,30.35,0
35,3414,9656,30.36,0
31,3414,9656,30.4,0
30,3414,9656,30.38,0
35,3414,9656,30.35,0
35,3414,9656,30.37,0
35,3414,9656,30.34,0
11,2439,7030,30.36,0
37,3414,9656,30.38,0
30,3414,9656,30.38,0
37,3414,9656,30.36,0
35,3414,9656,30.37,0
11,2439,7030,30.36,0
11,2439,7030,30.39,0
31,3414,9656,30.36,0
31,3414,9656,30.41,0
11,2439,7030,30.37,0
11,2439,7030,30.38,0
31,3414,9656,30.36,0
11,2439,7030,30.37,0
31,3414,9656,30.42,0
35,3414,9656,30.37,0
35,3414,9656,30.35,0
31,3414,9656,30.38,0
31,3414,9656,30.38,0
31,3414,9656,30.38,0
31,3414,9656,30.4,0
