NoAffS,VL,VC,Time,Result
31,3414,9656,30.37,0
35,3414,9656,30.38,0
14,2439,7030,30.39,0
17,2439,7030,30.39,0
37,3414,9656,30.36,0
31,3414,9656,30.37,0
35,3414,9656,30.37,0
31,3414,9656,30.38,0
35,3414,9656,30.37,0
31,3414,9656,30.37,0
31,3414,9656,30.37,0
37,3414,9656,30.36,0
14,2439,7030,30.34,0
35,3414,9656,30.37,0
31,3414,9656,30.35,0
31,3414,9656,30.35,0
31,3414,9656,30.36,0
31,3414,9656,30.35,0
37,3414,9656,30.35,0
14,2439,7030,30.37,0
14,2439,7030,30.34,0
31,3414,9656,30.35,0
31,3414,9656,30.37,0
31,3414,9656,30.36,0
31,3414,9656,30.36,0
17,2439,7030,30.39,0
35,3414,9656,30.35,0
35,3414,9656,30.3,0
17,2439,7030,30.4,0
37,3414,9656,30.36,0
