NoAffS,VL,VC,Time,Result
15,507,2162,6.77,1
15,507,2162,6.7,1
15,507,2162,6.76,1
15,507,2162,6.64,1
15,507,2162,6.73,1
15,507,2162,6.86,1
15,507,2162,6.65,1
15,507,2162,6.76,1
15,507,2162,6.67,1
15,507,2162,6.68,1
15,507,2162,6.68,1
15,507,2162,6.76,1
15,507,2162,6.91,1
15,507,2162,6.69,1
15,507,2162,6.77,1
15,507,2162,6.78,1
15,507,2162,6.85,1
15,507,2162,6.67,1
15,507,2162,6.92,1
15,507,2162,6.6,1
15,507,2162,6.49,1
15,507,2162,6.77,1
15,507,2162,6.9,1
15,507,2162,6.78,1
15,507,2162,6.91,1
15,507,2162,6.79,1
15,507,2162,6.91,1
15,507,2162,6.79,1
15,507,2162,6.75,1
15,507,2162,6.73,1
