NoAffS,VL,VC,Time,Result
15,507,2162,6.72,1
15,507,2162,6.91,1
15,507,2162,6.89,1
15,507,2162,6.88,1
15,507,2162,6.88,1
15,507,2162,6.69,1
15,507,2162,6.68,1
15,507,2162,6.8,1
15,507,2162,6.74,1
15,507,2162,7.0,1
15,507,2162,6.68,1
15,507,2162,6.97,1
15,507,2162,6.88,1
15,507,2162,6.67,1
15,507,2162,6.88,1
15,507,2162,6.93,1
15,507,2162,6.68,1
15,507,2162,6.74,1
15,507,2162,6.75,1
15,507,2162,6.68,1
15,507,2162,6.58,1
15,507,2162,6.78,1
15,507,2162,6.67,1
15,507,2162,6.79,1
15,507,2162,6.75,1
15,507,2162,6.82,1
15,507,2162,6.68,1
15,507,2162,6.76,1
15,507,2162,6.84,1
15,507,2162,6.78,1
