NoAffS,VL,VC,Time,Result
15,507,2162,6.82,1
15,507,2162,6.69,1
15,507,2162,6.64,1
15,507,2162,6.68,1
15,507,2162,6.87,1
15,507,2162,6.73,1
15,507,2162,6.66,1
15,507,2162,6.77,1
15,507,2162,6.55,1
15,507,2162,6.61,1
15,507,2162,6.77,1
15,507,2162,6.57,1
15,507,2162,6.73,1
15,507,2162,6.86,1
15,507,2162,6.84,1
15,507,2162,6.74,1
15,507,2162,6.74,1
15,507,2162,6.62,1
15,507,2162,6.81,1
15,507,2162,6.61,1
15,507,2162,6.73,1
15,507,2162,6.76,1
15,507,2162,6.71,1
15,507,2162,6.8,1
15,507,2162,6.78,1
15,507,2162,6.75,1
15,507,2162,6.68,1
15,507,2162,6.74,1
15,507,2162,6.88,1
15,507,2162,6.63,1
