NoAffS,VL,VC,Time,Result
7,438,1900,5.03,1
7,438,1900,5.04,1
7,438,1900,5.03,1
7,438,1900,5.04,1
7,438,1900,5.08,1
7,438,1900,5.09,1
7,438,1900,5.07,1
7,438,1900,4.9,1
7,438,1900,4.94,1
7,438,1900,5.0,1
7,438,1900,4.97,1
7,438,1900,5.04,1
7,438,1900,5.01,1
7,438,1900,5.05,1
7,438,1900,5.04,1
7,438,1900,4.96,1
7,438,1900,5.08,1
7,438,1900,5.05,1
7,438,1900,5.08,1
7,438,1900,5.04,1
7,438,1900,4.86,1
7,438,1900,5.09,1
7,438,1900,5.01,1
7,438,1900,4.95,1
7,438,1900,5.02,1
7,438,1900,5.12,1
7,438,1900,4.94,1
7,438,1900,5.08,1
7,438,1900,5.05,1
7,438,1900,5.03,1
