NoAffS,VL,VC,Time,Result
7,3974,13318,30.47,0
34,3974,13318,30.4,0
7,3974,13318,30.45,0
7,3974,13318,30.46,0
34,3974,13318,30.35,0
7,3974,13318,30.45,0
7,3974,13318,30.54,0
7,1374,4780,30.38,0
34,3974,13318,30.43,0
34,3974,13318,30.4,0
7,3974,13318,30.45,0
7,1374,4780,30.43,0
7,3974,13318,30.51,0
7,3974,13318,30.44,0
7,1374,4780,30.42,0
34,3974,13318,30.42,0
7,3974,13318,30.48,0
7,3974,13318,30.44,0
7,1374,4780,30.36,0
7,1374,4780,30.37,0
7,3974,13318,30.5,0
7,1374,4780,30.41,0
34,3974,13318,30.43,0
7,1374,4780,30.41,0
7,3974,13318,30.45,0
7,3974,13318,30.49,0
7,3974,13318,30.46,0
7,3974,13318,30.5,0
7,1374,4780,30.44,0
7,3974,13318,30.46,0
