NoAffS,VL,VC,Time,Result
22,1415,4568,30.36,0
15,1193,3868,30.32,0
22,1415,4568,30.38,0
15,1193,3868,30.4,0
32,1415,4568,30.32,0
15,1193,3868,30.34,0
24,1415,4568,30.31,0
32,1415,4568,30.29,0
15,1193,3868,30.38,0
24,1415,4568,30.37,0
32,1415,4568,30.4,0
32,1415,4568,30.36,0
32,1415,4568,30.38,0
32,1415,4568,30.38,0
24,1415,4568,30.35,0
22,1415,4568,30.4,0
22,1415,4568,30.38,0
32,1415,4568,30.38,0
22,1415,4568,30.37,0
32,1415,4568,30.37,0
22,1415,4568,30.37,0
32,1415,4568,30.39,0
22,1415,4568,30.44,0
32,1415,4568,30.35,0
15,1193,3868,30.4,0
22,1415,4568,30.43,0
15,1193,3868,30.29,0
22,1415,4568,30.37,0
15,1193,3868,30.31,0
32,1415,4568,30.39,0
